SampleID	SampleName	SampleType	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	AccessionID	Plate	PlateCoordinate	HarvestDate	GrindDate	ExtractionDate	QuantificaitonDate	BisulfiteDate	LibraryDate	library_prep_set_alias	ng/uL	total volume (uL)	total gDNA (ug)	uL for 80ng	h2o to 45ul	output volume (uL)	input volume (uL)	expected input gDNA (ug)	index d5	index d7	output well	200-500 Molarity (nmol/L)	Sequencing Batch	Submitted for sequencing
S60034	BdTR10g_R3S_DNA	FlagLeaf Bdis gDNA isolation	28035	734	BdTR10g_R3S	BdTR10g	Clone5	3	734	1	C5	Dec162015	Jan222016	Feb162016	Mar72016				4.95	160	791.64	16.17	28.83	15	5	26.67						
S60035	BdTR3f_R2S_DNA	FlagLeaf Bdis gDNA isolation	28036	682	BdTR3f_R2S	BdTR3f	Clone2	2	682	1	D5	Dec162015	Jan222016	Feb162016	Mar72016				4.39	160	702.68	18.22	26.78	15	5	26.67						
S60036	KEI5_R1S_DNA	FlagLeaf Bdis gDNA isolation	28037	426	KEI5_R1S	KEI5	HYB2	1	426	1	E5	Dec162015	Jan222016	Feb162016	Mar72016				8.04	160	1286.46	9.95	35.05	15	5	26.67						
S60037	EGL7_R2S_DNA	FlagLeaf Bdis gDNA isolation	28038	338	EGL7_R2S	EGL7	HYB1	2	338	1	F5	Dec162015	Jan222016	Feb162016	Mar72016				5.76	160	921.15	13.90	31.10	15	5	26.67						
S60038	BdTR3k_R1S_DNA	FlagLeaf Bdis gDNA isolation	28039	687	BdTR3k_R1S	BdTR3k	Clone2	1	687	1	G5	Dec162015	Jan222016	Feb162016	Mar72016				5.20	160	831.99	15.38	29.62	15	5	26.67						
S60039	Bd21_R11S_DNA	FlagLeaf Bdis gDNA isolation	28040	4741	Bd21_R11S	Bd21	Bd21	11	4741	1	H5	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	6.40	160	1024.23	12.50	32.50	15	5	26.67	501	701	A1			
S60040	BdTR5i_R1S_DNA	FlagLeaf Bdis gDNA isolation	28041	703	BdTR5i_R1S	BdTR5i	Clone3	1	703	1	A6	Dec162015	Jan222016	Feb162016	Mar72016				5.20	160	831.38	15.40	29.60	15	5	26.67						
S60041	BdTR5a_R3S_DNA	FlagLeaf Bdis gDNA isolation	28042	695	BdTR5a_R3S	BdTR5a	Clone3	3	695	1	B6	Dec162015	Jan222016	Feb162016	Mar72016				5.14	160	822.91	15.55	29.45	15	5	26.67						
S60042	GUL3-8_R1S_DNA	FlagLeaf Bdis gDNA isolation	28043	389	GUL3-8_R1S	GUL3-8	HYB1	1	389	1	C6	Dec162015	Jan222016	Feb162016	Mar72016				9.59	160	1534.78	8.34	36.66	15	5	26.67						
S60043	BdTR10n_R2S_DNA	FlagLeaf Bdis gDNA isolation	28044	740	BdTR10n_R2S	BdTR10n	Clone6	2	740	1	D6	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	6.27	160	1003.25	12.76	32.24	15	5	26.67						
S60044	BdTR2d_R2S_DNA	FlagLeaf Bdis gDNA isolation	28045	663	BdTR2d_R2S	BdTR2d	Clone1	2	663	1	E6	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	5.76	160	922.15	13.88	31.12	15	5	26.67						
S60045	BdTR1j_R3S_DNA	FlagLeaf Bdis gDNA isolation	28046	656	BdTR1j_R3S	BdTR1j	Clone1	3	656	1	F6	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	8.63	160	1380.26	9.27	35.73	15	5	26.67						
S60046	BdTR3f_R3S_DNA	FlagLeaf Bdis gDNA isolation	28047	682	BdTR3f_R3S	BdTR3f	Clone2	3	682	1	G6	Dec162015	Jan222016	Feb162016	Mar72016				7.10	160	1135.78	11.27	33.73	15	5	26.67						
S60047	Bd21_R2S_DNA	FlagLeaf Bdis gDNA isolation	28048	4741	Bd21_R2S	Bd21	Bd21	2	4741	1	H6	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	6.63	160	1061.34	12.06	32.94	15	5	26.67						
S60048	BdTR5g_R2S_DNA	FlagLeaf Bdis gDNA isolation	28049	701	BdTR5g_R2S	BdTR5g	Clone3	2	701	1	A7	Dec162015	Jan222016	Feb162016	Mar72016				8.05	160	1288.08	9.94	35.06	15	5	26.67						
S60049	BdTR13j_R2S_DNA	FlagLeaf Bdis gDNA isolation	28050	763	BdTR13j_R2S	BdTR13j	Clone7	2	763	1	B7	Dec162015	Jan222016	Feb162016	Mar72016				6.44	160	1030.48	12.42	32.58	15	5	26.67						
S60050	BdTR2b_R2S_DNA	FlagLeaf Bdis gDNA isolation	28051	661	BdTR2b_R2S	BdTR2b	Clone1	2	661	1	C7	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	6.65	160	1064.37	12.03	32.97	15	5	26.67						
S60051	BdTR13k_R2S_DNA	FlagLeaf Bdis gDNA isolation	28052	764	BdTR13k_R2S	BdTR13k	Clone7	2	764	1	D7	Dec162015	Jan222016	Feb162016	Mar72016				11.07	160	1771.80	7.22	37.78	15	5	26.67						
S60052	BdTR3k_R3S_DNA	FlagLeaf Bdis gDNA isolation	28053	687	BdTR3k_R3S	BdTR3k	Clone2	3	687	1	E7	Dec162015	Jan222016	Feb162016	Mar72016				7.14	160	1141.63	11.21	33.79	15	5	26.67						
S60053	BdTR9b_R1S_DNA	FlagLeaf Bdis gDNA isolation	28054	718	BdTR9b_R1S	BdTR9b	Clone4	1	718	1	F7	Dec162015	Jan222016	Feb162016	Mar72016				9.34	160	1493.63	8.57	36.43	15	5	26.67						
S60054	BdTR5m_R2S_DNA	FlagLeaf Bdis gDNA isolation	28055	706	BdTR5m_R2S	BdTR5m	Clone3	2	706	1	G7	Dec162015	Jan222016	Feb162016	Mar72016				8.07	160	1291.71	9.91	35.09	15	5	26.67						
S60055	BdTR11g_R3S_DNA	FlagLeaf Bdis gDNA isolation	28056	748	BdTR11g_R3S	BdTR11g	Clone6	3	748	1	H7	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	10.83	160	1732.06	7.39	37.61	15	5	26.67						
S60056	BdTR1n_R3S_DNA	FlagLeaf Bdis gDNA isolation	28057	659	BdTR1n_R3S	BdTR1n	Clone1	3	659	1	A8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	9.50	160	1519.65	8.42	36.58	15	5	26.67						
S60057	BdTR9f_R2S_DNA	FlagLeaf Bdis gDNA isolation	28058	721	BdTR9f_R2S	BdTR9f	Clone4	2	721	1	B8	Dec162015	Jan222016	Feb162016	Mar72016				10.33	160	1652.99	7.74	37.26	15	5	26.67						
S60058	BdTR13a_R1S_DNA	FlagLeaf Bdis gDNA isolation	28059	754	BdTR13a_R1S	BdTR13a	Clone7	1	754	1	C8	Dec162015	Jan222016	Feb162016	Mar72016				6.01	160	961.49	13.31	31.69	15	5	26.67						
S60059	BdTR2b_R3S_DNA	FlagLeaf Bdis gDNA isolation	28060	661	BdTR2b_R3S	BdTR2b	Clone1	3	661	1	D8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	8.21	160	1312.89	9.75	35.25	15	5	26.67						
S60060	BdTR5n_R1S_DNA	FlagLeaf Bdis gDNA isolation	28061	707	BdTR5n_R1S	BdTR5n	Clone3	1	707	1	E8	Dec162015	Jan222016	Feb162016	Mar72016				6.73	160	1076.87	11.89	33.11	15	5	26.67						
S60061	BdTR11i_R3S_DNA	FlagLeaf Bdis gDNA isolation	28062	750	BdTR11i_R3S	BdTR11i	Clone6	3	750	1	F8	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	5.38	160	860.02	14.88	30.12	15	5	26.67						
S60062	BdTR10b_R3S_DNA	FlagLeaf Bdis gDNA isolation	28063	729	BdTR10b_R3S	BdTR10b	Clone5	3	729	1	G8	Dec162015	Jan222016	Feb162016	Mar72016				5.44	160	869.91	14.71	30.29	15	5	26.67						
S60063	BdTR5f_R2S_DNA	FlagLeaf Bdis gDNA isolation	28064	700	BdTR5f_R2S	BdTR5f	Clone3	2	700	1	H8	Dec162015	Jan222016	Feb162016	Mar72016				6.02	160	962.50	13.30	31.70	15	5	26.67						
S60064	BdTR5c_R3S_DNA	FlagLeaf Bdis gDNA isolation	28065	697	BdTR5c_R3S	BdTR5c	Clone3	3	697	1	A9	Dec162015	Jan222016	Feb162016	Mar72016				8.10	160	1295.94	9.88	35.12	15	5	26.67						
S60065	BdTR3h_R1S_DNA	FlagLeaf Bdis gDNA isolation	28066	684	BdTR3h_R1S	BdTR3h	Clone2	1	684	1	B9	Dec162015	Jan222016	Feb162016	Mar72016				6.98	160	1117.22	11.46	33.54	15	5	26.67						
S60066	BdTR3j_R3S_DNA	FlagLeaf Bdis gDNA isolation	28067	686	BdTR3j_R3S	BdTR3j	Clone2	3	686	1	C9	Dec162015	Jan222016	Feb162016	Mar72016				6.15	160	983.28	13.02	31.98	15	5	26.67						
S60067	BdTR5e_R3S_DNA	FlagLeaf Bdis gDNA isolation	28068	699	BdTR5e_R3S	BdTR5e	Clone3	3	699	1	D9	Dec162015	Jan222016	Feb162016	Mar72016				9.11	160	1456.92	8.79	36.21	15	5	26.67						
S60068	BdTR10n_R1S_DNA	FlagLeaf Bdis gDNA isolation	28069	740	BdTR10n_R1S	BdTR10n	Clone6	1	740	1	E9	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	7.90	160	1263.67	10.13	34.87	15	5	26.67						
S60069	BdTR10c_R3S_DNA	FlagLeaf Bdis gDNA isolation	28070	730	BdTR10c_R3S	BdTR10c	Clone5	3	730	1	F9	Dec162015	Jan222016	Feb162016	Mar72016				5.36	160	857.81	14.92	30.08	15	5	26.67						
S60070	BdTR2h_R3S_DNA	FlagLeaf Bdis gDNA isolation	28071	667	BdTR2h_R3S	BdTR2h	Clone1	3	667	1	G9	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	5.76	160	921.75	13.89	31.11	15	5	26.67						
S60071	BdTR2j_R2S_DNA	FlagLeaf Bdis gDNA isolation	28072	669	BdTR2j_R2S	BdTR2j	Clone1	2	669	1	H9	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	7.59	160	1214.04	10.54	34.46	15	5	26.67						
S60072	BdTR5j_R1S_DNA	FlagLeaf Bdis gDNA isolation	28073	704	BdTR5j_R1S	BdTR5j	Clone3	1	704	1	A10	Dec162015	Jan222016	Feb162016	Mar72016				6.81	160	1089.78	11.75	33.25	15	5	26.67						
S60073	BdTR11g_R2S_DNA	FlagLeaf Bdis gDNA isolation	28074	748	BdTR11g_R2S	BdTR11g	Clone6	2	748	1	B10	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	7.67	160	1226.95	10.43	34.57	15	5	26.67						
S60074	BdTR3t_R1S_DNA	FlagLeaf Bdis gDNA isolation	28075	694	BdTR3t_R1S	BdTR3t	Clone2	1	694	1	C10	Dec162015	Jan222016	Feb162016	Mar72016				10.39	160	1663.08	7.70	37.30	15	5	26.67						
S60075	BdTR5f_R1S_DNA	FlagLeaf Bdis gDNA isolation	28076	700	BdTR5f_R1S	BdTR5f	Clone3	1	700	1	D10	Dec162015	Jan222016	Feb162016	Mar72016				11.26	160	1802.06	7.10	37.90	15	5	26.67						
S60076	BdTR10e_R2S_DNA	FlagLeaf Bdis gDNA isolation	28077	732	BdTR10e_R2S	BdTR10e	Clone5	2	732	1	E10	Dec162015	Jan222016	Feb162016	Mar72016				6.95	160	1112.58	11.50	33.50	15	5	26.67						
S60077	BdTR10d_R1S_DNA	FlagLeaf Bdis gDNA isolation	28078	731	BdTR10d_R1S	BdTR10d	Clone5	1	731	1	F10	Dec162015	Jan222016	Feb162016	Mar72016				5.76	160	921.75	13.89	31.11	15	5	26.67						
S60078	BdTR2n_R2S_DNA	FlagLeaf Bdis gDNA isolation	28079	672	BdTR2n_R2S	BdTR2n	Clone1	2	672	1	G10	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	9.92	160	1587.23	8.06	36.94	15	5	26.67						
S60079	BdTR3g_R2S_DNA	FlagLeaf Bdis gDNA isolation	28080	683	BdTR3g_R2S	BdTR3g	Clone2	2	683	1	H10	Dec162015	Jan222016	Feb162016	Mar72016				7.26	160	1160.99	11.03	33.97	15	5	26.67						
S60080	BdTR5d_R2S_DNA	FlagLeaf Bdis gDNA isolation	28081	698	BdTR5d_R2S	BdTR5d	Clone3	2	698	1	A11	Dec162015	Jan222016	Feb162016	Mar72016				5.20	160	832.08	15.38	29.62	15	5	26.67						
S60081	Bd21_R12S_DNA	FlagLeaf Bdis gDNA isolation	28082	4741	Bd21_R12S	Bd21	Bd21	12	4741	1	B11	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	6.51	160	1041.88	12.29	32.71	15	5	26.67						
S60082	BdTR10o_R3S_DNA	FlagLeaf Bdis gDNA isolation	28083	741	BdTR10o_R3S	BdTR10o	Clone5	3	741	1	C11	Dec162015	Jan222016	Feb162016	Mar72016				6.34	160	1014.61	12.62	32.38	15	5	26.67						
S60083	BdTR5b_R1S_DNA	FlagLeaf Bdis gDNA isolation	28084	696	BdTR5b_R1S	BdTR5b	Clone3	1	696	1	D11	Dec162015	Jan222016	Feb162016	Mar72016				4.91	160	785.74	16.29	28.71	15	5	26.67						
S60084	BdTR2m_R2S_DNA	FlagLeaf Bdis gDNA isolation	28085	671	BdTR2m_R2S	BdTR2m	Clone1	2	671	1	E11	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	5.57	160	890.53	14.37	30.63	15	5	26.67						
S60085	BdTR11i_R2S_DNA	FlagLeaf Bdis gDNA isolation	28086	750	BdTR11i_R2S	BdTR11i	Clone6	2	750	1	F11	Dec162015	Jan222016	Feb162016	Mar72016	May132016	May172016	sequencing_plate_1	8.02	160	1283.67	9.97	35.03	15	5	26.67	501	707	A7			
S60086	BdTR10i_R1S_DNA	FlagLeaf Bdis gDNA isolation	28087	736	BdTR10i_R1S	BdTR10i	Clone5	1	736	1	G11	Dec162015	Jan222016	Feb162016	Mar72016				9.64	160	1542.48	8.30	36.70	15	5	26.67						
S60087	SLK7_R2S_DNA	FlagLeaf Bdis gDNA isolation	28088	548	SLK7_R2S	SLK7	HYB1	2	548	1	H11	Dec162015	Jan222016	Feb162016	Mar72016				7.15	160	1144.42	11.18	33.82	15	5	26.67						
S60088	BdTR9j_R3S_DNA	FlagLeaf Bdis gDNA isolation	28089	725	BdTR9j_R3S	BdTR9j	Clone4	3	725	1	A12	Dec162015	Jan222016	Feb162016	Mar72016				7.31	160	1170.06	10.94	34.06	15	5	26.67						
S60089	BdTR3t_R2S_DNA	FlagLeaf Bdis gDNA isolation	28090	694	BdTR3t_R2S	BdTR3t	Clone2	2	694	1	B12	Dec162015	Jan222016	Feb162016	Mar72016				5.34	160	854.03	14.99	30.01	15	5	26.67						
S60090	BdTR5b_R2S_DNA	FlagLeaf Bdis gDNA isolation	28091	696	BdTR5b_R2S	BdTR5b	Clone3	2	696	1	C12	Dec162015	Jan222016	Feb162016	Mar72016				4.96	160	792.91	16.14	28.86	15	5	26.67						
S60091	GWW10_R3S_DNA	FlagLeaf Bdis gDNA isolation	28092	397	GWW10_R3S	GWW10	HYB1	3	397	1	D12	Dec162015	Jan222016	Feb162016	Mar72016				24.37	160	3899.28	3.28	41.72	15	5	26.67						
S60092	BdTR11f_R1S_DNA	FlagLeaf Bdis gDNA isolation	28093	747	BdTR11f_R1S	BdTR11f	Clone6	1	747	1	E12	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	7.23	160	1156.73	11.07	33.93	15	5	26.67						
S60093	BdTR3s_R3S_DNA	FlagLeaf Bdis gDNA isolation	28094	693	BdTR3s_R3S	BdTR3s	Clone2	3	693	1	F12	Dec162015	Jan222016	Feb162016	Mar72016				6.19	160	991.02	12.92	32.08	15	5	26.67						
S60094	BdTR10g_R1S_DNA	FlagLeaf Bdis gDNA isolation	28095	734	BdTR10g_R1S	BdTR10g	Clone5	1	734	1	G12	Dec162015	Jan222016	Feb162016	Mar72016				3.51	160	561.58	22.79	22.21	15	5	26.67						
S60095	BdTR10f_R3S_DNA	FlagLeaf Bdis gDNA isolation	28096	733	BdTR10f_R3S	BdTR10f	Clone4	3	733	1	H12	Dec162015	Jan222016	Feb162016	Mar72016				4.08	160	653.25	19.59	25.41	15	5	26.67						
S60096	BdTR11c_R2S_DNA	FlagLeaf Bdis gDNA isolation	28097	744	BdTR11c_R2S	BdTR11c	Clone6	2	744	2	A1	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	8.07	160	1290.85	9.92	35.08	15	5	26.67						
S60097	BdTR5h_R1S_DNA	FlagLeaf Bdis gDNA isolation	28098	702	BdTR5h_R1S	BdTR5h	Clone3	1	702	2	B1	Dec162015	Jan222016	Feb162016	Mar72016				1.97	160	315.48	40.57	4.43	15	5	26.67						
S60098	BdTR2j_R1S_DNA	FlagLeaf Bdis gDNA isolation	28099	669	BdTR2j_R1S	BdTR2j	Clone1	1	669	2	C1	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	7.72	160	1235.68	10.36	34.64	15	5	26.67						
S60099	BdTR10a_R1S_DNA	FlagLeaf Bdis gDNA isolation	28100	728	BdTR10a_R1S	BdTR10a	Clone5	1	728	2	D1	Dec162015	Jan222016	Feb162016	Mar72016				4.71	160	753.74	16.98	28.02	15	5	26.67						
S60100	BdTR2d_R1S_DNA	FlagLeaf Bdis gDNA isolation	28101	663	BdTR2d_R1S	BdTR2d	Clone1	1	663	2	E1	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.51	160	561.79	22.78	22.22	15	5	26.67						
S60101	BdTR5f_R3S_DNA	FlagLeaf Bdis gDNA isolation	28102	700	BdTR5f_R3S	BdTR5f	Clone3	3	700	2	F1	Dec162015	Jan222016	Feb162016	Mar72016				5.34	160	853.62	15.00	30.00	15	5	26.67						
S60102	BdTR1a_R3S_DNA	FlagLeaf Bdis gDNA isolation	28103	647	BdTR1a_R3S	BdTR1a	Clone1	3	647	2	G1	Dec162015	Jan222016	Feb162016	Mar72016			sequencing_plate_1	3.99	160	638.90	20.03	24.97	15	5	26.67						
S60103	BdTR13k_R3S_DNA	FlagLeaf Bdis gDNA isolation	28104	764	BdTR13k_R3S	BdTR13k	Clone7	3	764	2	H1	Dec162015	Jan222016	Feb162016	Mar72016				4.06	160	649.97	19.69	25.31	15	5	26.67						
